region,ip,prefixlength,org
apnic,27.114.128.0,18,n/a
apnic,36.255.104.0,23,n/a
apnic,43.226.220.0,22,n/a
apnic,43.231.28.0,22,n/a
apnic,69.94.32.0,20,n/a
apnic,69.94.80.0,20,n/a
apnic,83.137.200.0,21,n/a
apnic,103.31.84.0,22,n/a
apnic,103.50.104.0,22,n/a
apnic,103.110.109.0,24,n/a
apnic,103.110.110.0,23,n/a
apnic,103.141.98.0,24,n/a
apnic,103.197.164.0,22,n/a
apnic,115.84.128.0,19,n/a
apnic,123.176.0.0,19,n/a
apnic,124.195.192.0,19,n/a
apnic,185.215.32.0,22,n/a
apnic,202.1.192.0,22,n/a
apnic,202.1.196.0,22,n/a
apnic,202.1.200.0,21,n/a
apnic,202.21.176.0,20,n/a
apnic,202.153.80.0,21,n/a
apnic,203.104.24.0,21,n/a
apnic,209.212.192.0,19,n/a
apnic,216.183.208.0,20,n/a
apnic,220.158.220.0,22,n/a
