region,version,ip,prefixlength
lacnic,ipv4,152.206.0.0,15
lacnic,ipv4,181.225.224.0,19
lacnic,ipv4,190.6.64.0,20
lacnic,ipv4,190.6.80.0,20
lacnic,ipv4,190.15.144.0,20
lacnic,ipv4,190.92.112.0,20
lacnic,ipv4,190.107.0.0,20
lacnic,ipv4,200.13.144.0,21
lacnic,ipv4,200.14.48.0,21
lacnic,ipv4,200.55.128.0,19
lacnic,ipv4,200.55.160.0,20
lacnic,ipv4,200.55.176.0,20
lacnic,ipv4,201.220.192.0,20
lacnic,ipv4,201.220.208.0,20
lacnic,ipv6,2800:230::,32
lacnic,ipv6,2800:360::,32
lacnic,ipv6,2800:910::,32
lacnic,ipv6,2001:1358::,32
