region,ip,prefixlength
ripencc,5.133.120.0,22
ripencc,37.110.208.0,21
ripencc,45.9.228.0,22
ripencc,45.91.220.0,22
ripencc,45.150.24.0,22
ripencc,46.227.120.0,21
ripencc,46.255.64.0,21
ripencc,62.209.128.0,19
ripencc,80.80.208.0,20
ripencc,81.95.224.0,20
ripencc,82.215.66.0,23
ripencc,82.215.68.0,23
ripencc,82.215.72.0,22
ripencc,82.215.77.0,24
ripencc,82.215.78.0,23
ripencc,82.215.80.0,22
ripencc,82.215.85.0,24
ripencc,82.215.86.0,23
ripencc,82.215.88.0,21
ripencc,82.215.96.0,20
ripencc,82.215.112.0,20
ripencc,83.69.128.0,19
ripencc,83.221.160.0,19
ripencc,83.222.6.0,23
ripencc,84.54.64.0,18
ripencc,86.62.0.0,22
ripencc,87.237.232.0,21
ripencc,89.104.102.0,24
ripencc,89.146.64.0,18
ripencc,89.223.3.0,24
ripencc,89.236.192.0,18
ripencc,89.249.60.0,22
ripencc,90.156.160.0,21
ripencc,90.156.192.0,21
ripencc,91.188.128.0,19
ripencc,91.190.159.0,24
ripencc,91.216.37.0,24
ripencc,91.240.128.0,24
ripencc,92.63.204.0,22
ripencc,92.119.248.0,22
ripencc,93.188.80.0,21
ripencc,94.141.64.0,19
ripencc,94.154.10.0,24
ripencc,94.230.224.0,20
ripencc,95.214.208.0,22
ripencc,109.94.172.0,22
ripencc,139.28.44.0,22
ripencc,185.4.160.0,22
ripencc,185.6.40.0,22
ripencc,185.8.212.0,22
ripencc,185.63.224.0,22
ripencc,185.74.4.0,22
ripencc,185.74.100.0,22
ripencc,185.78.136.0,22
ripencc,185.93.124.0,22
ripencc,185.100.52.0,22
ripencc,185.139.136.0,22
ripencc,185.163.24.0,22
ripencc,185.166.255.0,24
ripencc,185.178.51.0,24
ripencc,185.183.240.0,22
ripencc,185.196.212.0,22
ripencc,185.196.216.0,22
ripencc,185.203.236.0,22
ripencc,185.208.176.0,22
ripencc,185.211.128.0,22
ripencc,185.213.228.0,22
ripencc,185.215.5.0,24
ripencc,185.230.204.0,22
ripencc,185.231.66.0,24
ripencc,185.239.152.0,22
ripencc,185.248.44.0,22
ripencc,188.113.192.0,18
ripencc,188.190.96.0,22
ripencc,192.166.228.0,22
ripencc,193.104.179.0,24
ripencc,193.222.110.0,24
ripencc,194.8.133.0,24
ripencc,194.31.111.0,24
ripencc,194.55.92.0,22
ripencc,194.62.108.0,22
ripencc,194.93.24.0,22
ripencc,195.158.0.0,19
ripencc,212.115.112.0,22
ripencc,213.206.32.0,19
ripencc,213.230.64.0,18
ripencc,217.12.80.0,20
ripencc,217.29.112.0,20
ripencc,217.30.160.0,20
