region,version,ip,prefixlength,org
afrinic,ipv4,41.57.80.0,20,n/a
afrinic,ipv4,41.86.0.0,19,n/a
afrinic,ipv4,41.191.104.0,22,n/a
afrinic,ipv4,102.36.184.0,22,n/a
afrinic,ipv4,102.214.136.0,22,n/a
afrinic,ipv4,102.215.52.0,22,n/a
afrinic,ipv4,154.65.24.0,22,n/a
afrinic,ipv4,164.160.8.0,22,n/a
afrinic,ipv4,168.253.0.0,19,n/a
afrinic,ipv4,196.250.176.0,20,n/a
afrinic,ipv4,197.215.216.0,22,n/a
afrinic,ipv4,197.231.152.0,21,n/a
afrinic,ipv4,197.231.220.0,22,n/a
afrinic,ipv6,2c0f:4580::,32,n/a
afrinic,ipv6,2c0f:6080::,32,n/a
afrinic,ipv6,2c0f:edc0::,32,n/a
afrinic,ipv6,2c0f:ef88::,32,n/a
afrinic,ipv6,2c0f:f1d8::,32,n/a
afrinic,ipv6,2c0f:f930::,32,n/a
