region,ip,prefixlength,org
afrinic,2001:43c0::,32,n/a
afrinic,2001:43e0::,32,n/a
afrinic,2c0f:1380::,32,n/a
afrinic,2c0f:1d80::,32,n/a
afrinic,2c0f:2500::,32,n/a
afrinic,2c0f:2b00::,32,n/a
afrinic,2c0f:7700::,32,n/a
afrinic,2c0f:e890::,32,n/a
afrinic,2c0f:eea0::,32,n/a
afrinic,2c0f:eeb8::,32,n/a
afrinic,2c0f:f170::,32,n/a
afrinic,2c0f:f430::,32,n/a
afrinic,2c0f:f490::,32,n/a
afrinic,2c0f:f618::,32,n/a
afrinic,2c0f:f7c0::,32,n/a
afrinic,2c0f:f8e8::,32,n/a
afrinic,2c0f:fa00::,32,n/a
afrinic,2c0f:fa68::,32,n/a
afrinic,2c0f:fca8::,32,n/a
afrinic,2c0f:fcf8::,32,n/a
afrinic,2c0f:fd88::,32,n/a
