region,ip,prefixlength,org
afrinic,41.74.64.0,20,n/a
afrinic,41.208.64.0,18,n/a
afrinic,41.242.16.0,20,n/a
afrinic,41.252.0.0,14,n/a
afrinic,62.68.32.0,19,n/a
afrinic,62.240.32.0,19,n/a
afrinic,102.23.220.0,22,n/a
afrinic,102.38.0.0,19,n/a
afrinic,102.68.128.0,21,n/a
afrinic,102.69.0.0,17,n/a
afrinic,102.164.96.0,21,n/a
afrinic,102.213.44.0,22,n/a
afrinic,102.213.228.0,22,n/a
afrinic,102.214.104.0,22,n/a
afrinic,102.214.164.0,22,n/a
afrinic,102.215.196.0,22,n/a
afrinic,102.216.136.0,22,n/a
afrinic,102.218.172.0,22,n/a
afrinic,102.218.196.0,22,n/a
afrinic,102.219.227.0,24,n/a
afrinic,102.220.140.0,22,n/a
afrinic,102.221.8.0,22,n/a
afrinic,102.221.56.0,22,n/a
afrinic,102.221.224.0,22,n/a
afrinic,102.222.252.0,23,n/a
afrinic,102.223.156.0,22,n/a
afrinic,154.73.28.0,22,n/a
afrinic,154.73.52.0,22,n/a
afrinic,154.73.108.0,22,n/a
afrinic,154.73.128.0,21,n/a
afrinic,154.127.64.0,20,n/a
afrinic,156.38.32.0,19,n/a
afrinic,160.19.96.0,21,n/a
afrinic,164.160.144.0,22,n/a
afrinic,165.16.0.0,17,n/a
afrinic,169.239.92.0,22,n/a
afrinic,169.239.116.0,22,n/a
afrinic,195.234.120.0,22,n/a
afrinic,197.215.128.0,19,n/a
afrinic,197.231.228.0,22,n/a
ripencc,5.63.0.0,21,n/a
ripencc,185.10.240.0,22,ly.alruyaelectron;Al Ruya Electronic JSC
