region,ip,prefixlength
ripencc,2a00:1ee8::,32
ripencc,2a00:45a0::,32
ripencc,2a00:70a0::,32
ripencc,2a00:b800::,29
ripencc,2a01:bd60::,32
ripencc,2a02:4520::,32
ripencc,2a02:67c0::,32
ripencc,2a03:8b60::,32
ripencc,2a04:8180::,31
ripencc,2a04:9080::,29
ripencc,2a05:a8c0::,29
ripencc,2a06:6f80::,29
ripencc,2a06:d300::,29
ripencc,2a07:4fc0::,29
ripencc,2a07:6980::,29
ripencc,2a09:b4c0::,29
ripencc,2a09:ebc0::,29
ripencc,2a0b:b6c0::,29
ripencc,2a0b:f2c0::,29
ripencc,2a0c:de40::,32
ripencc,2a0d:4100::,32
ripencc,2a0d:8b80::,29
ripencc,2a0d:e900::,29
ripencc,2a0f:b940::,32
ripencc,2a10:7540::,29
ripencc,2a10:b6c0::,29
ripencc,2a11:ccc0::,29
