region,ip,prefixlength
ripencc,2001:1670::,32
ripencc,2a00:11a8::,29
ripencc,2a00:9120::,32
ripencc,2a02:2908::,29
ripencc,2a03:11a0::,32
ripencc,2a04:c400::,29
ripencc,2a05:24c0::,29
ripencc,2a06:dac0::,29
ripencc,2a09:1540::,32
ripencc,2a09:5580::,32
ripencc,2a0a:c740::,29
ripencc,2a0b:d580::,29
ripencc,2a0c:6640::,29
ripencc,2a0f:b8c0::,29
ripencc,2a10:21c0::,29
ripencc,2a10:6cc0::,29
ripencc,2a10:e800::,32
ripencc,2a11:96c0::,29
ripencc,2a11:b400::,29
ripencc,2a12:5ac0::,32
ripencc,2a13:39c0::,32
