region,version,ip,prefixlength,org
ripencc,ipv4,5.100.160.0,21,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,5.255.0.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,31.31.176.0,20,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,46.35.64.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,46.161.224.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,78.137.64.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,80.253.176.0,20,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,81.91.24.0,21,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,82.114.160.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,89.189.64.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,94.26.192.0,20,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,94.26.208.0,20,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,109.74.32.0,20,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,109.200.160.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,131.117.160.0,21,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,178.130.64.0,18,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,185.11.8.0,22,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,185.71.132.0,22,n/a
ripencc,ipv4,185.80.44.0,22,ye.you-yemen;Yemen Oman United Telecom CJSC
ripencc,ipv4,185.80.140.0,22,"ye.ym;Yemen Mobile Company, Public Yemeni Joint-Stock Company"
ripencc,ipv4,185.112.200.0,22,n/a
ripencc,ipv4,185.240.64.0,22,n/a
ripencc,ipv4,188.209.224.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,188.240.96.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv4,195.94.0.0,19,n/a
ripencc,ipv4,213.246.0.0,19,ye.ptc;Public Telecommunication Corporation
ripencc,ipv6,2a02:2718::,29,ye.ptc;Public Telecommunication Corporation
ripencc,ipv6,2a02:e280::,29,n/a
ripencc,ipv6,2a05:3380::,29,n/a
ripencc,ipv6,2a05:7a40::,29,ye.you-yemen;Yemen Oman United Telecom CJSC
ripencc,ipv6,2a05:7d80::,29,"ye.ym;Yemen Mobile Company, Public Yemeni Joint-Stock Company"
ripencc,ipv6,2a07:fd40::,29,n/a
