region,ip,prefixlength
apnic,2400:bb40::,32
apnic,2407:e8c0::,32
lacnic,2800:140::,32
lacnic,2800:350::,32
lacnic,2800:351::,32
lacnic,2800:352::,31
lacnic,2800:354::,30
lacnic,2800:980::,32
lacnic,2800:ce0::,32
lacnic,2803:200::,32
lacnic,2803:290::,32
lacnic,2803:490::,32
lacnic,2803:600::,32
lacnic,2803:b80::,32
lacnic,2803:2900::,32
lacnic,2803:2940::,32
lacnic,2803:2b00::,32
lacnic,2803:2d80::,32
lacnic,2803:2e40::,32
lacnic,2803:3000::,32
lacnic,2803:3400::,32
lacnic,2803:34a0::,32
lacnic,2803:3520::,32
lacnic,2803:3620::,32
lacnic,2803:4300::,32
lacnic,2803:4710::,32
lacnic,2803:4be0::,32
lacnic,2803:5120::,32
lacnic,2803:58a0::,32
lacnic,2803:6e20::,32
lacnic,2803:7280::,32
lacnic,2803:73a0::,32
lacnic,2803:7bc0::,32
lacnic,2803:8960::,32
lacnic,2803:8c80::,32
lacnic,2803:96c0::,32
lacnic,2803:9ce0::,32
lacnic,2803:9e40::,32
lacnic,2803:a380::,32
lacnic,2803:ac40::,32
lacnic,2803:ad80::,32
lacnic,2803:ae40::,32
lacnic,2803:b710::,32
lacnic,2803:b840::,32
lacnic,2803:bd80::,32
lacnic,2803:c560::,32
lacnic,2803:c820::,32
lacnic,2803:ce90::,32
lacnic,2803:d040::,32
lacnic,2803:d6c0::,32
lacnic,2803:d840::,32
lacnic,2803:db60::,32
lacnic,2803:e240::,32
lacnic,2803:e600::,32
lacnic,2803:ed40::,32
lacnic,2803:f090::,32
lacnic,2803:f0e0::,32
lacnic,2803:f520::,32
lacnic,2803:fb00::,32
ripencc,2a11:4c0::,29
ripencc,2a13:240::,29
ripencc,2a00:12f0::,32
ripencc,2a02:29b8::,32
ripencc,2a05:3ac0::,29
ripencc,2a06:bbc0::,29
ripencc,2a09:4ac0::,29
ripencc,2a0c:de80::,29
ripencc,2a10:7980::,29
ripencc,2a10:9100::,29
ripencc,2a11:c6c0::,29
ripencc,2a11:eb00::,29
ripencc,2a12:1500::,29
ripencc,2a12:8a80::,29
