region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.138.120.0,24,allocated,[988;MF;COMPUTECH-ASN]
arin,ipv4,148.64.60.0,23,allocated,[395916;MF;THDTEL]
arin,ipv4,149.112.46.0,23,allocated,[1007;MF;SMART-IX-ROUTE-SERVERS][985;MF;SMART-IX-SERVICES]
arin,ipv4,158.222.40.0,23,allocated,[40573;MF;SBT]
arin,ipv4,192.96.136.0,23,allocated,[40573;MF;SBT]
arin,ipv4,192.139.192.0,24,allocated,[393894;MF;MSR-CABLE-TV]
arin,ipv4,204.27.52.0,22,allocated,*
arin,ipv6,2602:fb4a::,40,allocated,[1007;MF;SMART-IX-ROUTE-SERVERS][985;MF;SMART-IX-SERVICES]
arin,ipv6,2602:fb4b::,40,allocated,[988;MF;COMPUTECH-ASN]
arin,ipv6,2602:ff07::,36,allocated,[395916;MF;THDTEL]
