region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.130.168.0,24,allocated,[397547;GD;SIS-WIRELESS-ASN-GRD-01]
arin,ipv4,23.141.216.0,24,allocated,[19303;GD;ASN-SGU]
arin,ipv4,45.42.225.0,24,allocated,[399273;GD;GCB-ASN01]
arin,ipv4,67.159.199.0,24,allocated,[40701;GD;GND-DC][30272;GD;GOG-ASN1-GND]
arin,ipv4,74.117.84.0,22,allocated,[46650;GD;ASN46650-CCGL]
arin,ipv4,74.122.88.0,21,allocated,[46650;GD;ASN46650-CCGL]
arin,ipv4,104.245.48.0,22,allocated,[393682;GD;AICASNREQ10232014]
arin,ipv4,104.245.92.0,22,allocated,[46650;GD;ASN46650-CCGL]
arin,ipv4,162.245.152.0,22,allocated,[46650;GD;ASN46650-CCGL]
arin,ipv4,196.3.73.0,24,allocated,*
arin,ipv4,199.83.192.0,21,allocated,[46650;GD;ASN46650-CCGL]
arin,ipv4,199.85.236.0,22,allocated,[46650;GD;ASN46650-CCGL]
arin,ipv4,206.126.244.0,24,allocated,[14432;GD;GREX]
arin,ipv6,2001:1808::,32,allocated,[46650;GD;ASN46650-CCGL]
arin,ipv6,2600:1a00::,28,allocated,[46650;GD;ASN46650-CCGL]
arin,ipv6,2602:f965::,40,allocated,[14432;GD;GREX]
arin,ipv6,2602:fb03::,40,allocated,[19303;GD;ASN-SGU]
arin,ipv6,2602:fc14::,36,allocated,[397547;GD;SIS-WIRELESS-ASN-GRD-01]
arin,ipv6,2605:c080::,32,allocated,[393682;GD;AICASNREQ10232014]
arin,ipv6,2001:504:35::,48,allocated,[14432;GD;GREX]
arin,ipv6,2620:61:e000::,48,allocated,[40701;GD;GND-DC][30272;GD;GOG-ASN1-GND]
arin,ipv6,2620:a2:e000::,48,allocated,[399273;GD;GCB-ASN01]
