region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.185.48.0,24,allocated,[397914;BS;AS-CBL-152]
arin,ipv4,23.190.112.0,24,allocated,[22357;BS;SECURE-SHORE-ASN]
arin,ipv4,24.51.64.0,18,allocated,[15146;BS;CABLEBAHAMAS]
arin,ipv4,24.206.0.0,19,allocated,[15146;BS;CABLEBAHAMAS]
arin,ipv4,24.231.32.0,19,allocated,[15146;BS;CABLEBAHAMAS]
arin,ipv4,24.244.128.0,18,allocated,[15146;BS;CABLEBAHAMAS]
arin,ipv4,64.66.0.0,20,allocated,[26855;BS;IBL-ASN]
arin,ipv4,64.150.192.0,18,allocated,[15146;BS;CABLEBAHAMAS]
arin,ipv4,65.75.64.0,18,allocated,[15146;BS;CABLEBAHAMAS]
arin,ipv4,66.85.2.0,24,allocated,[394601;BS;GNX-ASN]
arin,ipv4,66.226.160.0,19,allocated,[19128;BS;TTN]
arin,ipv4,69.4.160.0,20,allocated,[26855;BS;IBL-ASN]
arin,ipv4,104.166.32.0,20,allocated,*
arin,ipv4,108.60.224.0,19,allocated,*
arin,ipv4,141.193.84.0,22,allocated,[19377;BS;CLOUD-CARIB-LTD]
arin,ipv4,161.199.175.0,24,allocated,[398165;BS;JAROL-01]
arin,ipv4,165.140.144.0,22,allocated,[22357;BS;SECURE-SHORE-ASN]
arin,ipv4,192.231.36.0,24,allocated,[19377;BS;CLOUD-CARIB-LTD]
arin,ipv4,199.102.188.0,22,allocated,[33035;BS;BAHAMAS-WIMAX]
arin,ipv4,204.236.64.0,18,allocated,*
arin,ipv4,208.87.32.0,21,allocated,[18635;BS;SECUREHOST]
arin,ipv4,216.137.0.0,20,allocated,*
arin,ipv6,2607:300::,32,allocated,[18635;BS;SECUREHOST]
arin,ipv6,2610:180::,32,allocated,*
arin,ipv6,2602:fc27::,36,allocated,[22357;BS;SECURE-SHORE-ASN]
arin,ipv6,2607:fe68::,32,allocated,[26855;BS;IBL-ASN]
arin,ipv6,2602:80a:5000::,40,allocated,[397914;BS;AS-CBL-152]
