region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,138.199.64.0,20,assigned,*
ripencc,ipv4,139.191.0.0,16,assigned,*
ripencc,ipv4,144.44.0.0,16,assigned,*
ripencc,ipv4,145.218.0.0,16,assigned,*
ripencc,ipv4,148.185.0.0,16,assigned,*
ripencc,ipv4,151.175.0.0,16,assigned,*
ripencc,ipv4,158.67.0.0,16,assigned,*
ripencc,ipv4,192.84.203.0,24,assigned,*
ripencc,ipv4,192.108.23.0,22,assigned,*
ripencc,ipv4,192.108.27.0,24,assigned,*
ripencc,ipv4,192.108.28.0,24,assigned,*
ripencc,ipv4,192.108.29.0,24,assigned,*
ripencc,ipv4,192.108.30.0,24,assigned,*
ripencc,ipv4,192.108.35.0,21,assigned,*
ripencc,ipv4,207.229.112.0,22,assigned,*
ripencc,ipv4,207.229.118.0,22,assigned,*
ripencc,ipv4,207.229.123.0,22,assigned,*
ripencc,ipv4,209.162.128.0,19,assigned,*
ripencc,ipv4,209.162.156.0,24,assigned,*
ripencc,ipv4,209.162.158.0,23,assigned,*
